Manufacturer,Permit Number,VIN NUMBER,Annual Total of Disengagements,DEC 2020,JAN 2021,FEB 2021,MAR 2021,APR 2021,MAY 2021,JUN 2021,JULY 2021,AUG 2021,SEP 2021,OCT 2021,NOV 2021,ANNUAL TOTAL,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616130,0,0,0,0,0,0,0,177.3,745.4,760.4,114.8,1005.3,829.2,3632.4,,,,,
WAYMO LLC,AVT003,SADHW2S13M1615469,0,0,0,0,0,0,0,0,51.7,653.2,277.2,1772.3,1829.9,4584.3,,,,,
WAYMO LLC,AVT003,SADHW2S16M1616261,0,0,0,0,0,0,0,32.7,0,0,0,0,0,32.7,,,,,
WAYMO LLC,AVT003,SADHW2S14M1615738,0,0,0,0,0,0,0,109.6,0,0,0,0,0,109.6,,,,,
WAYMO LLC,AVT003,SADHW2S12M1615690,0,0,0,0,0,0,0,102.5,1153.6,2433,2616.1,1957.8,1159.9,9422.9,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615838,0,0,0,0,0,0,0,35.7,274,0,359.9,470.9,431.5,1572,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615668,1,0,0,0,0,0,0,232.1,1401.9,2866.9,1360,1699.3,2743.5,10303.7,,,,,
WAYMO LLC,AVT003,SADHW2S14M1615643,1,0,0,0,0,0,0,0,1775.8,1561.2,0,54.8,1073.1,4464.9,,,,,
WAYMO LLC,AVT003,SADHW2S14M1615674,0,0,0,0,0,0,0,248.9,698.9,651.9,79.9,1101.8,1304.5,4085.9,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615421,0,0,0,0,0,0,0,442.9,251.3,874.2,443.8,1952.3,2097.6,6062.1,,,,,
WAYMO LLC,AVT003,SADHW2S10M1616367,1,0,0,0,0,0,0,87.9,929.7,0,0,0,0,1017.6,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615721,1,0,0,0,0,0,0,83.7,813.6,2467.1,755.8,3033.7,1153.4,8307.3,,,,,
WAYMO LLC,AVT003,SADHW2S19M1615816,0,0,0,0,0,0,0,0,739.6,592.3,548.5,952,1283.3,4115.7,,,,,
WAYMO LLC,AVT003,SADHW2S13M1615729,0,0,0,0,0,0,0,0,1085.8,1817.9,661.3,796,473.3,4834.3,,,,,
WAYMO LLC,AVT003,SADHW2S11M1616054,2,0,0,0,0,0,0,15.2,625.3,974,365.6,655.7,0,2635.8,,,,,
WAYMO LLC,AVT003,SADHW2S12M1616208,0,0,0,0,0,0,0,141.7,1269.4,0,0,0,0,1411.1,,,,,
WAYMO LLC,AVT003,SADHW2S15M1615635,0,0,0,0,0,0,0,0,73.3,725.5,987.8,1191.5,2373.7,5351.8,,,,,
WAYMO LLC,AVT003,SADHW2S1XM1615713,0,0,0,0,0,0,0,53,671.3,0,0,0,0,724.3,,,,,
WAYMO LLC,AVT003,SADHW2S12M1615589,0,0,0,0,0,0,0,0,423.9,1013.1,453.4,1590.3,860.1,4340.8,,,,,
WAYMO LLC,AVT003,SADHW2S12M1615527,0,0,0,0,0,0,0,0,291.9,398.7,752.5,1663.7,672.6,3779.4,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615886,1,0,0,0,0,0,0,0,387.3,0,0,0,0,387.3,,,,,
WAYMO LLC,AVT003,SADHW2S18M1615970,0,0,0,0,0,0,0,132.1,326.9,1751,20.4,0,1268.8,3499.2,,,,,
